id,skill_set,subcategory 
2079,"('social-media', 'technical-translation', 'blogging')","Novel / Short Story
"
2080,"('social-media', 'technical-translation', 'blogging')","Document Typing
"
2081,"('social-media', 'technical-translation', 'blogging')",Interpreter
2082,"('social-media', 'technical-translation', 'interpreting')","Write Content
"
2083,"('social-media', 'technical-translation', 'interpreting')","Translation
"
2084,"('social-media', 'technical-translation', 'interpreting')","Proofreading
"
2085,"('social-media', 'technical-translation', 'interpreting')","Novel / Short Story
"
2086,"('social-media', 'technical-translation', 'interpreting')","Document Typing
"
2087,"('social-media', 'technical-translation', 'interpreting')",Interpreter
2088,"('social-media', 'technical-translation', 'creative-writing')","Write Content
"
2089,"('social-media', 'technical-translation', 'creative-writing')","Translation
"
2090,"('social-media', 'technical-translation', 'creative-writing')","Proofreading
"
2091,"('social-media', 'technical-translation', 'creative-writing')","Novel / Short Story
"
2092,"('social-media', 'technical-translation', 'creative-writing')","Document Typing
"
2093,"('social-media', 'technical-translation', 'creative-writing')",Interpreter
2094,"('social-media', 'technical-translation', 'proofreading')","Write Content
"
2095,"('social-media', 'technical-translation', 'proofreading')","Translation
"
2096,"('social-media', 'technical-translation', 'proofreading')","Proofreading
"
2097,"('social-media', 'technical-translation', 'proofreading')","Novel / Short Story
"
2098,"('social-media', 'technical-translation', 'proofreading')","Document Typing
"
2099,"('social-media', 'technical-translation', 'proofreading')",Interpreter
2100,"('social-media', 'technical-translation', 'education')","Write Content
"
2101,"('social-media', 'technical-translation', 'education')","Translation
"
2102,"('social-media', 'technical-translation', 'education')","Proofreading
"
2103,"('social-media', 'technical-translation', 'education')","Novel / Short Story
"
2104,"('social-media', 'technical-translation', 'education')","Document Typing
"
2105,"('social-media', 'technical-translation', 'education')",Interpreter
2106,"('social-media', 'technical-translation', 'multilingual')","Write Content
"
2107,"('social-media', 'technical-translation', 'multilingual')","Translation
"
2108,"('social-media', 'technical-translation', 'multilingual')","Proofreading
"
2109,"('social-media', 'technical-translation', 'multilingual')","Novel / Short Story
"
2110,"('social-media', 'technical-translation', 'multilingual')","Document Typing
"
2111,"('social-media', 'technical-translation', 'multilingual')",Interpreter
2112,"('social-media', 'multilingual', 'translation')","Write Content
"
2113,"('social-media', 'multilingual', 'translation')","Translation
"
2114,"('social-media', 'multilingual', 'translation')","Proofreading
"
2115,"('social-media', 'multilingual', 'translation')","Novel / Short Story
"
2116,"('social-media', 'multilingual', 'translation')","Document Typing
"
2117,"('social-media', 'multilingual', 'translation')",Interpreter
2118,"('social-media', 'multilingual', 'editing')","Write Content
"
2119,"('social-media', 'multilingual', 'editing')","Translation
"
2120,"('social-media', 'multilingual', 'editing')","Proofreading
"
2121,"('social-media', 'multilingual', 'editing')","Novel / Short Story
"
2122,"('social-media', 'multilingual', 'editing')","Document Typing
"
2123,"('social-media', 'multilingual', 'editing')",Interpreter
2124,"('social-media', 'multilingual', 'blogging')","Write Content
"
2125,"('social-media', 'multilingual', 'blogging')","Translation
"
2126,"('social-media', 'multilingual', 'blogging')","Proofreading
"
2127,"('social-media', 'multilingual', 'blogging')","Novel / Short Story
"
2128,"('social-media', 'multilingual', 'blogging')","Document Typing
"
2129,"('social-media', 'multilingual', 'blogging')",Interpreter
2130,"('social-media', 'multilingual', 'interpreting')","Write Content
"
2131,"('social-media', 'multilingual', 'interpreting')","Translation
"
2132,"('social-media', 'multilingual', 'interpreting')","Proofreading
"
2133,"('social-media', 'multilingual', 'interpreting')","Novel / Short Story
"
2134,"('social-media', 'multilingual', 'interpreting')","Document Typing
"
2135,"('social-media', 'multilingual', 'interpreting')",Interpreter
2136,"('social-media', 'multilingual', 'creative-writing')","Write Content
"
2137,"('social-media', 'multilingual', 'creative-writing')","Translation
"
2138,"('social-media', 'multilingual', 'creative-writing')","Proofreading
"
2139,"('social-media', 'multilingual', 'creative-writing')","Novel / Short Story
"
2140,"('social-media', 'multilingual', 'creative-writing')","Document Typing
"
2141,"('social-media', 'multilingual', 'creative-writing')",Interpreter
2142,"('social-media', 'multilingual', 'proofreading')","Write Content
"
2143,"('social-media', 'multilingual', 'proofreading')","Translation
"
2144,"('social-media', 'multilingual', 'proofreading')","Proofreading
"
2145,"('social-media', 'multilingual', 'proofreading')","Novel / Short Story
"
2146,"('social-media', 'multilingual', 'proofreading')","Document Typing
"
2147,"('social-media', 'multilingual', 'proofreading')",Interpreter
2148,"('social-media', 'multilingual', 'education')","Write Content
"
2149,"('social-media', 'multilingual', 'education')","Translation
"
2150,"('social-media', 'multilingual', 'education')","Proofreading
"
2151,"('social-media', 'multilingual', 'education')","Novel / Short Story
"
2152,"('social-media', 'multilingual', 'education')","Document Typing
"
2153,"('social-media', 'multilingual', 'education')",Interpreter
2154,"('social-media', 'multilingual', 'technical-translation')","Write Content
"
2155,"('social-media', 'multilingual', 'technical-translation')","Translation
"
2156,"('social-media', 'multilingual', 'technical-translation')","Proofreading
"
2157,"('social-media', 'multilingual', 'technical-translation')","Novel / Short Story
"
2158,"('social-media', 'multilingual', 'technical-translation')","Document Typing
"
2159,"('social-media', 'multilingual', 'technical-translation')",Interpreter
2160,"('creative-writing', 'translation', 'editing')","Write Content
"
2161,"('creative-writing', 'translation', 'editing')","Translation
"
2162,"('creative-writing', 'translation', 'editing')","Proofreading
"
2163,"('creative-writing', 'translation', 'editing')","Novel / Short Story
"
2164,"('creative-writing', 'translation', 'editing')","Document Typing
"
2165,"('creative-writing', 'translation', 'editing')",Interpreter
2166,"('creative-writing', 'translation', 'blogging')","Write Content
"
2167,"('creative-writing', 'translation', 'blogging')","Translation
"
2168,"('creative-writing', 'translation', 'blogging')","Proofreading
"
2169,"('creative-writing', 'translation', 'blogging')","Novel / Short Story
"
2170,"('creative-writing', 'translation', 'blogging')","Document Typing
"
2171,"('creative-writing', 'translation', 'blogging')",Interpreter
2172,"('creative-writing', 'translation', 'interpreting')","Write Content
"
2173,"('creative-writing', 'translation', 'interpreting')","Translation
"
2174,"('creative-writing', 'translation', 'interpreting')","Proofreading
"
2175,"('creative-writing', 'translation', 'interpreting')","Novel / Short Story
"
2176,"('creative-writing', 'translation', 'interpreting')","Document Typing
"
2177,"('creative-writing', 'translation', 'interpreting')",Interpreter
2178,"('creative-writing', 'translation', 'social-media')","Write Content
"
2179,"('creative-writing', 'translation', 'social-media')","Translation
"
2180,"('creative-writing', 'translation', 'social-media')","Proofreading
"
2181,"('creative-writing', 'translation', 'social-media')","Novel / Short Story
"
2182,"('creative-writing', 'translation', 'social-media')","Document Typing
"
2183,"('creative-writing', 'translation', 'social-media')",Interpreter
2184,"('creative-writing', 'translation', 'proofreading')","Write Content
"
2185,"('creative-writing', 'translation', 'proofreading')","Translation
"
2186,"('creative-writing', 'translation', 'proofreading')","Proofreading
"
2187,"('creative-writing', 'translation', 'proofreading')","Novel / Short Story
"
2188,"('creative-writing', 'translation', 'proofreading')","Document Typing
"
2189,"('creative-writing', 'translation', 'proofreading')",Interpreter
2190,"('creative-writing', 'translation', 'education')","Write Content
"
2191,"('creative-writing', 'translation', 'education')","Translation
"
2192,"('creative-writing', 'translation', 'education')","Proofreading
"
2193,"('creative-writing', 'translation', 'education')","Novel / Short Story
"
2194,"('creative-writing', 'translation', 'education')","Document Typing
"
2195,"('creative-writing', 'translation', 'education')",Interpreter
2196,"('creative-writing', 'translation', 'technical-translation')","Write Content
"
2197,"('creative-writing', 'translation', 'technical-translation')","Translation
"
2198,"('creative-writing', 'translation', 'technical-translation')","Proofreading
"
2199,"('creative-writing', 'translation', 'technical-translation')","Novel / Short Story
"
2200,"('creative-writing', 'translation', 'technical-translation')","Document Typing
"
2201,"('creative-writing', 'translation', 'technical-translation')",Interpreter
2202,"('creative-writing', 'translation', 'multilingual')","Write Content
"
2203,"('creative-writing', 'translation', 'multilingual')","Translation
"
2204,"('creative-writing', 'translation', 'multilingual')","Proofreading
"
2205,"('creative-writing', 'translation', 'multilingual')","Novel / Short Story
"
2206,"('creative-writing', 'translation', 'multilingual')","Document Typing
"
2207,"('creative-writing', 'translation', 'multilingual')",Interpreter
2208,"('creative-writing', 'editing', 'translation')","Write Content
"
2209,"('creative-writing', 'editing', 'translation')","Translation
"
2210,"('creative-writing', 'editing', 'translation')","Proofreading
"
2211,"('creative-writing', 'editing', 'translation')","Novel / Short Story
"
2212,"('creative-writing', 'editing', 'translation')","Document Typing
"
2213,"('creative-writing', 'editing', 'translation')",Interpreter
2214,"('creative-writing', 'editing', 'blogging')","Write Content
"
2215,"('creative-writing', 'editing', 'blogging')","Translation
"
2216,"('creative-writing', 'editing', 'blogging')","Proofreading
"
2217,"('creative-writing', 'editing', 'blogging')","Novel / Short Story
"
2218,"('creative-writing', 'editing', 'blogging')","Document Typing
"
2219,"('creative-writing', 'editing', 'blogging')",Interpreter
2220,"('creative-writing', 'editing', 'interpreting')","Write Content
"
2221,"('creative-writing', 'editing', 'interpreting')","Translation
"
2222,"('creative-writing', 'editing', 'interpreting')","Proofreading
"
2223,"('creative-writing', 'editing', 'interpreting')","Novel / Short Story
"
2224,"('creative-writing', 'editing', 'interpreting')","Document Typing
"
2225,"('creative-writing', 'editing', 'interpreting')",Interpreter
2226,"('creative-writing', 'editing', 'social-media')","Write Content
"
2227,"('creative-writing', 'editing', 'social-media')","Translation
"
2228,"('creative-writing', 'editing', 'social-media')","Proofreading
"
2229,"('creative-writing', 'editing', 'social-media')","Novel / Short Story
"
2230,"('creative-writing', 'editing', 'social-media')","Document Typing
"
2231,"('creative-writing', 'editing', 'social-media')",Interpreter
2232,"('creative-writing', 'editing', 'proofreading')","Write Content
"
2233,"('creative-writing', 'editing', 'proofreading')","Translation
"
2234,"('creative-writing', 'editing', 'proofreading')","Proofreading
"
2235,"('creative-writing', 'editing', 'proofreading')","Novel / Short Story
"
2236,"('creative-writing', 'editing', 'proofreading')","Document Typing
"
2237,"('creative-writing', 'editing', 'proofreading')",Interpreter
2238,"('creative-writing', 'editing', 'education')","Write Content
"
2239,"('creative-writing', 'editing', 'education')","Translation
"
2240,"('creative-writing', 'editing', 'education')","Proofreading
"
2241,"('creative-writing', 'editing', 'education')","Novel / Short Story
"
2242,"('creative-writing', 'editing', 'education')","Document Typing
"
2243,"('creative-writing', 'editing', 'education')",Interpreter
2244,"('creative-writing', 'editing', 'technical-translation')","Write Content
"
2245,"('creative-writing', 'editing', 'technical-translation')","Translation
"
2246,"('creative-writing', 'editing', 'technical-translation')","Proofreading
"
2247,"('creative-writing', 'editing', 'technical-translation')","Novel / Short Story
"
2248,"('creative-writing', 'editing', 'technical-translation')","Document Typing
"
2249,"('creative-writing', 'editing', 'technical-translation')",Interpreter
2250,"('creative-writing', 'editing', 'multilingual')","Write Content
"
2251,"('creative-writing', 'editing', 'multilingual')","Translation
"
2252,"('creative-writing', 'editing', 'multilingual')","Proofreading
"
2253,"('creative-writing', 'editing', 'multilingual')","Novel / Short Story
"
2254,"('creative-writing', 'editing', 'multilingual')","Document Typing
"
2255,"('creative-writing', 'editing', 'multilingual')",Interpreter
2256,"('creative-writing', 'blogging', 'translation')","Write Content
"
2257,"('creative-writing', 'blogging', 'translation')","Translation
"
2258,"('creative-writing', 'blogging', 'translation')","Proofreading
"
2259,"('creative-writing', 'blogging', 'translation')","Novel / Short Story
"
2260,"('creative-writing', 'blogging', 'translation')","Document Typing
"
2261,"('creative-writing', 'blogging', 'translation')",Interpreter
2262,"('creative-writing', 'blogging', 'editing')","Write Content
"
2263,"('creative-writing', 'blogging', 'editing')","Translation
"
2264,"('creative-writing', 'blogging', 'editing')","Proofreading
"
2265,"('creative-writing', 'blogging', 'editing')","Novel / Short Story
"
2266,"('creative-writing', 'blogging', 'editing')","Document Typing
"
2267,"('creative-writing', 'blogging', 'editing')",Interpreter
2268,"('creative-writing', 'blogging', 'interpreting')","Write Content
"
2269,"('creative-writing', 'blogging', 'interpreting')","Translation
"
2270,"('creative-writing', 'blogging', 'interpreting')","Proofreading
"
2271,"('creative-writing', 'blogging', 'interpreting')","Novel / Short Story
"
2272,"('creative-writing', 'blogging', 'interpreting')","Document Typing
"
2273,"('creative-writing', 'blogging', 'interpreting')",Interpreter
2274,"('creative-writing', 'blogging', 'social-media')","Write Content
"
2275,"('creative-writing', 'blogging', 'social-media')","Translation
"
2276,"('creative-writing', 'blogging', 'social-media')","Proofreading
"
2277,"('creative-writing', 'blogging', 'social-media')","Novel / Short Story
"
2278,"('creative-writing', 'blogging', 'social-media')","Document Typing
"
2279,"('creative-writing', 'blogging', 'social-media')",Interpreter
2280,"('creative-writing', 'blogging', 'proofreading')","Write Content
"
2281,"('creative-writing', 'blogging', 'proofreading')","Translation
"
2282,"('creative-writing', 'blogging', 'proofreading')","Proofreading
"
2283,"('creative-writing', 'blogging', 'proofreading')","Novel / Short Story
"
2284,"('creative-writing', 'blogging', 'proofreading')","Document Typing
"
2285,"('creative-writing', 'blogging', 'proofreading')",Interpreter
2286,"('creative-writing', 'blogging', 'education')","Write Content
"
2287,"('creative-writing', 'blogging', 'education')","Translation
"
2288,"('creative-writing', 'blogging', 'education')","Proofreading
"
2289,"('creative-writing', 'blogging', 'education')","Novel / Short Story
"
2290,"('creative-writing', 'blogging', 'education')","Document Typing
"
2291,"('creative-writing', 'blogging', 'education')",Interpreter
2292,"('creative-writing', 'blogging', 'technical-translation')","Write Content
"
2293,"('creative-writing', 'blogging', 'technical-translation')","Translation
"
2294,"('creative-writing', 'blogging', 'technical-translation')","Proofreading
"
2295,"('creative-writing', 'blogging', 'technical-translation')","Novel / Short Story
"
2296,"('creative-writing', 'blogging', 'technical-translation')","Document Typing
"
2297,"('creative-writing', 'blogging', 'technical-translation')",Interpreter
2298,"('creative-writing', 'blogging', 'multilingual')","Write Content
"
2299,"('creative-writing', 'blogging', 'multilingual')","Translation
"
2300,"('creative-writing', 'blogging', 'multilingual')","Proofreading
"
2301,"('creative-writing', 'blogging', 'multilingual')","Novel / Short Story
"
2302,"('creative-writing', 'blogging', 'multilingual')","Document Typing
"
2303,"('creative-writing', 'blogging', 'multilingual')",Interpreter
2304,"('creative-writing', 'interpreting', 'translation')","Write Content
"
2305,"('creative-writing', 'interpreting', 'translation')","Translation
"
2306,"('creative-writing', 'interpreting', 'translation')","Proofreading
"
2307,"('creative-writing', 'interpreting', 'translation')","Novel / Short Story
"
2308,"('creative-writing', 'interpreting', 'translation')","Document Typing
"
2309,"('creative-writing', 'interpreting', 'translation')",Interpreter
2310,"('creative-writing', 'interpreting', 'editing')","Write Content
"
2311,"('creative-writing', 'interpreting', 'editing')","Translation
"
2312,"('creative-writing', 'interpreting', 'editing')","Proofreading
"
2313,"('creative-writing', 'interpreting', 'editing')","Novel / Short Story
"
2314,"('creative-writing', 'interpreting', 'editing')","Document Typing
"
2315,"('creative-writing', 'interpreting', 'editing')",Interpreter
2316,"('creative-writing', 'interpreting', 'blogging')","Write Content
"
2317,"('creative-writing', 'interpreting', 'blogging')","Translation
"
2318,"('creative-writing', 'interpreting', 'blogging')","Proofreading
"
2319,"('creative-writing', 'interpreting', 'blogging')","Novel / Short Story
"
2320,"('creative-writing', 'interpreting', 'blogging')","Document Typing
"
2321,"('creative-writing', 'interpreting', 'blogging')",Interpreter
2322,"('creative-writing', 'interpreting', 'social-media')","Write Content
"
2323,"('creative-writing', 'interpreting', 'social-media')","Translation
"
2324,"('creative-writing', 'interpreting', 'social-media')","Proofreading
"
2325,"('creative-writing', 'interpreting', 'social-media')","Novel / Short Story
"
2326,"('creative-writing', 'interpreting', 'social-media')","Document Typing
"
2327,"('creative-writing', 'interpreting', 'social-media')",Interpreter
2328,"('creative-writing', 'interpreting', 'proofreading')","Write Content
"
2329,"('creative-writing', 'interpreting', 'proofreading')","Translation
"
2330,"('creative-writing', 'interpreting', 'proofreading')","Proofreading
"
2331,"('creative-writing', 'interpreting', 'proofreading')","Novel / Short Story
"
2332,"('creative-writing', 'interpreting', 'proofreading')","Document Typing
"
2333,"('creative-writing', 'interpreting', 'proofreading')",Interpreter
2334,"('creative-writing', 'interpreting', 'education')","Write Content
"
2335,"('creative-writing', 'interpreting', 'education')","Translation
"
2336,"('creative-writing', 'interpreting', 'education')","Proofreading
"
2337,"('creative-writing', 'interpreting', 'education')","Novel / Short Story
"
2338,"('creative-writing', 'interpreting', 'education')","Document Typing
"
2339,"('creative-writing', 'interpreting', 'education')",Interpreter
2340,"('creative-writing', 'interpreting', 'technical-translation')","Write Content
"
2341,"('creative-writing', 'interpreting', 'technical-translation')","Translation
"
2342,"('creative-writing', 'interpreting', 'technical-translation')","Proofreading
"
2343,"('creative-writing', 'interpreting', 'technical-translation')","Novel / Short Story
"
2344,"('creative-writing', 'interpreting', 'technical-translation')","Document Typing
"
2345,"('creative-writing', 'interpreting', 'technical-translation')",Interpreter
2346,"('creative-writing', 'interpreting', 'multilingual')","Write Content
"
2347,"('creative-writing', 'interpreting', 'multilingual')","Translation
"
2348,"('creative-writing', 'interpreting', 'multilingual')","Proofreading
"
2349,"('creative-writing', 'interpreting', 'multilingual')","Novel / Short Story
"
2350,"('creative-writing', 'interpreting', 'multilingual')","Document Typing
"
2351,"('creative-writing', 'interpreting', 'multilingual')",Interpreter
2352,"('creative-writing', 'social-media', 'translation')","Write Content
"
2353,"('creative-writing', 'social-media', 'translation')","Translation
"
2354,"('creative-writing', 'social-media', 'translation')","Proofreading
"
2355,"('creative-writing', 'social-media', 'translation')","Novel / Short Story
"
2356,"('creative-writing', 'social-media', 'translation')","Document Typing
"
2357,"('creative-writing', 'social-media', 'translation')",Interpreter
2358,"('creative-writing', 'social-media', 'editing')","Write Content
"
2359,"('creative-writing', 'social-media', 'editing')","Translation
"
2360,"('creative-writing', 'social-media', 'editing')","Proofreading
"
2361,"('creative-writing', 'social-media', 'editing')","Novel / Short Story
"
2362,"('creative-writing', 'social-media', 'editing')","Document Typing
"
2363,"('creative-writing', 'social-media', 'editing')",Interpreter
2364,"('creative-writing', 'social-media', 'blogging')","Write Content
"
2365,"('creative-writing', 'social-media', 'blogging')","Translation
"
2366,"('creative-writing', 'social-media', 'blogging')","Proofreading
"
2367,"('creative-writing', 'social-media', 'blogging')","Novel / Short Story
"
2368,"('creative-writing', 'social-media', 'blogging')","Document Typing
"
2369,"('creative-writing', 'social-media', 'blogging')",Interpreter
2370,"('creative-writing', 'social-media', 'interpreting')","Write Content
"
2371,"('creative-writing', 'social-media', 'interpreting')","Translation
"
2372,"('creative-writing', 'social-media', 'interpreting')","Proofreading
"
2373,"('creative-writing', 'social-media', 'interpreting')","Novel / Short Story
"
2374,"('creative-writing', 'social-media', 'interpreting')","Document Typing
"
2375,"('creative-writing', 'social-media', 'interpreting')",Interpreter
2376,"('creative-writing', 'social-media', 'proofreading')","Write Content
"
2377,"('creative-writing', 'social-media', 'proofreading')","Translation
"
2378,"('creative-writing', 'social-media', 'proofreading')","Proofreading
"
2379,"('creative-writing', 'social-media', 'proofreading')","Novel / Short Story
"
2380,"('creative-writing', 'social-media', 'proofreading')","Document Typing
"
2381,"('creative-writing', 'social-media', 'proofreading')",Interpreter
2382,"('creative-writing', 'social-media', 'education')","Write Content
"
2383,"('creative-writing', 'social-media', 'education')","Translation
"
2384,"('creative-writing', 'social-media', 'education')","Proofreading
"
2385,"('creative-writing', 'social-media', 'education')","Novel / Short Story
"
2386,"('creative-writing', 'social-media', 'education')","Document Typing
"
2387,"('creative-writing', 'social-media', 'education')",Interpreter
2388,"('creative-writing', 'social-media', 'technical-translation')","Write Content
"
2389,"('creative-writing', 'social-media', 'technical-translation')","Translation
"
2390,"('creative-writing', 'social-media', 'technical-translation')","Proofreading
"
2391,"('creative-writing', 'social-media', 'technical-translation')","Novel / Short Story
"
2392,"('creative-writing', 'social-media', 'technical-translation')","Document Typing
"
2393,"('creative-writing', 'social-media', 'technical-translation')",Interpreter
2394,"('creative-writing', 'social-media', 'multilingual')","Write Content
"
2395,"('creative-writing', 'social-media', 'multilingual')","Translation
"
2396,"('creative-writing', 'social-media', 'multilingual')","Proofreading
"
2397,"('creative-writing', 'social-media', 'multilingual')","Novel / Short Story
"
2398,"('creative-writing', 'social-media', 'multilingual')","Document Typing
"
2399,"('creative-writing', 'social-media', 'multilingual')",Interpreter
2400,"('creative-writing', 'proofreading', 'translation')","Write Content
"
2401,"('creative-writing', 'proofreading', 'translation')","Translation
"
2402,"('creative-writing', 'proofreading', 'translation')","Proofreading
"
2403,"('creative-writing', 'proofreading', 'translation')","Novel / Short Story
"
2404,"('creative-writing', 'proofreading', 'translation')","Document Typing
"
2405,"('creative-writing', 'proofreading', 'translation')",Interpreter
2406,"('creative-writing', 'proofreading', 'editing')","Write Content
"
2407,"('creative-writing', 'proofreading', 'editing')","Translation
"
2408,"('creative-writing', 'proofreading', 'editing')","Proofreading
"
2409,"('creative-writing', 'proofreading', 'editing')","Novel / Short Story
"
2410,"('creative-writing', 'proofreading', 'editing')","Document Typing
"
2411,"('creative-writing', 'proofreading', 'editing')",Interpreter
2412,"('creative-writing', 'proofreading', 'blogging')","Write Content
"
2413,"('creative-writing', 'proofreading', 'blogging')","Translation
"
2414,"('creative-writing', 'proofreading', 'blogging')","Proofreading
"
2415,"('creative-writing', 'proofreading', 'blogging')","Novel / Short Story
"
2416,"('creative-writing', 'proofreading', 'blogging')","Document Typing
"
2417,"('creative-writing', 'proofreading', 'blogging')",Interpreter
2418,"('creative-writing', 'proofreading', 'interpreting')","Write Content
"
2419,"('creative-writing', 'proofreading', 'interpreting')","Translation
"
2420,"('creative-writing', 'proofreading', 'interpreting')","Proofreading
"
2421,"('creative-writing', 'proofreading', 'interpreting')","Novel / Short Story
"
2422,"('creative-writing', 'proofreading', 'interpreting')","Document Typing
"
2423,"('creative-writing', 'proofreading', 'interpreting')",Interpreter
2424,"('creative-writing', 'proofreading', 'social-media')","Write Content
"
2425,"('creative-writing', 'proofreading', 'social-media')","Translation
"
2426,"('creative-writing', 'proofreading', 'social-media')","Proofreading
"
2427,"('creative-writing', 'proofreading', 'social-media')","Novel / Short Story
"
2428,"('creative-writing', 'proofreading', 'social-media')","Document Typing
"
2429,"('creative-writing', 'proofreading', 'social-media')",Interpreter
2430,"('creative-writing', 'proofreading', 'education')","Write Content
"
2431,"('creative-writing', 'proofreading', 'education')","Translation
"
2432,"('creative-writing', 'proofreading', 'education')","Proofreading
"
2433,"('creative-writing', 'proofreading', 'education')","Novel / Short Story
"
2434,"('creative-writing', 'proofreading', 'education')","Document Typing
"
2435,"('creative-writing', 'proofreading', 'education')",Interpreter
2436,"('creative-writing', 'proofreading', 'technical-translation')","Write Content
"
2437,"('creative-writing', 'proofreading', 'technical-translation')","Translation
"
2438,"('creative-writing', 'proofreading', 'technical-translation')","Proofreading
"
2439,"('creative-writing', 'proofreading', 'technical-translation')","Novel / Short Story
"
2440,"('creative-writing', 'proofreading', 'technical-translation')","Document Typing
"
2441,"('creative-writing', 'proofreading', 'technical-translation')",Interpreter
2442,"('creative-writing', 'proofreading', 'multilingual')","Write Content
"
2443,"('creative-writing', 'proofreading', 'multilingual')","Translation
"
2444,"('creative-writing', 'proofreading', 'multilingual')","Proofreading
"
2445,"('creative-writing', 'proofreading', 'multilingual')","Novel / Short Story
"
2446,"('creative-writing', 'proofreading', 'multilingual')","Document Typing
"
2447,"('creative-writing', 'proofreading', 'multilingual')",Interpreter
2448,"('creative-writing', 'education', 'translation')","Write Content
"
2449,"('creative-writing', 'education', 'translation')","Translation
"
2450,"('creative-writing', 'education', 'translation')","Proofreading
"
2451,"('creative-writing', 'education', 'translation')","Novel / Short Story
"
2452,"('creative-writing', 'education', 'translation')","Document Typing
"
2453,"('creative-writing', 'education', 'translation')",Interpreter
2454,"('creative-writing', 'education', 'editing')","Write Content
"
2455,"('creative-writing', 'education', 'editing')","Translation
"
2456,"('creative-writing', 'education', 'editing')","Proofreading
"
2457,"('creative-writing', 'education', 'editing')","Novel / Short Story
"
2458,"('creative-writing', 'education', 'editing')","Document Typing
"
2459,"('creative-writing', 'education', 'editing')",Interpreter
2460,"('creative-writing', 'education', 'blogging')","Write Content
"
2461,"('creative-writing', 'education', 'blogging')","Translation
"
2462,"('creative-writing', 'education', 'blogging')","Proofreading
"
2463,"('creative-writing', 'education', 'blogging')","Novel / Short Story
"
2464,"('creative-writing', 'education', 'blogging')","Document Typing
"
2465,"('creative-writing', 'education', 'blogging')",Interpreter
2466,"('creative-writing', 'education', 'interpreting')","Write Content
"
2467,"('creative-writing', 'education', 'interpreting')","Translation
"
2468,"('creative-writing', 'education', 'interpreting')","Proofreading
"
2469,"('creative-writing', 'education', 'interpreting')","Novel / Short Story
"
2470,"('creative-writing', 'education', 'interpreting')","Document Typing
"
2471,"('creative-writing', 'education', 'interpreting')",Interpreter
2472,"('creative-writing', 'education', 'social-media')","Write Content
"
2473,"('creative-writing', 'education', 'social-media')","Translation
"
2474,"('creative-writing', 'education', 'social-media')","Proofreading
"
2475,"('creative-writing', 'education', 'social-media')","Novel / Short Story
"
2476,"('creative-writing', 'education', 'social-media')","Document Typing
"
2477,"('creative-writing', 'education', 'social-media')",Interpreter
2478,"('creative-writing', 'education', 'proofreading')","Write Content
"
2479,"('creative-writing', 'education', 'proofreading')","Translation
"
2480,"('creative-writing', 'education', 'proofreading')","Proofreading
"
2481,"('creative-writing', 'education', 'proofreading')","Novel / Short Story
"
2482,"('creative-writing', 'education', 'proofreading')","Document Typing
"
2483,"('creative-writing', 'education', 'proofreading')",Interpreter
2484,"('creative-writing', 'education', 'technical-translation')","Write Content
"
2485,"('creative-writing', 'education', 'technical-translation')","Translation
"
2486,"('creative-writing', 'education', 'technical-translation')","Proofreading
"
2487,"('creative-writing', 'education', 'technical-translation')","Novel / Short Story
"
2488,"('creative-writing', 'education', 'technical-translation')","Document Typing
"
2489,"('creative-writing', 'education', 'technical-translation')",Interpreter
2490,"('creative-writing', 'education', 'multilingual')","Write Content
"
2491,"('creative-writing', 'education', 'multilingual')","Translation
"
2492,"('creative-writing', 'education', 'multilingual')","Proofreading
"
2493,"('creative-writing', 'education', 'multilingual')","Novel / Short Story
"
2494,"('creative-writing', 'education', 'multilingual')","Document Typing
"
2495,"('creative-writing', 'education', 'multilingual')",Interpreter
2496,"('creative-writing', 'technical-translation', 'translation')","Write Content
"
2497,"('creative-writing', 'technical-translation', 'translation')","Translation
"
2498,"('creative-writing', 'technical-translation', 'translation')","Proofreading
"
2499,"('creative-writing', 'technical-translation', 'translation')","Novel / Short Story
"
2500,"('creative-writing', 'technical-translation', 'translation')","Document Typing
"
2501,"('creative-writing', 'technical-translation', 'translation')",Interpreter
2502,"('creative-writing', 'technical-translation', 'editing')","Write Content
"
2503,"('creative-writing', 'technical-translation', 'editing')","Translation
"
2504,"('creative-writing', 'technical-translation', 'editing')","Proofreading
"
2505,"('creative-writing', 'technical-translation', 'editing')","Novel / Short Story
"
2506,"('creative-writing', 'technical-translation', 'editing')","Document Typing
"
2507,"('creative-writing', 'technical-translation', 'editing')",Interpreter
2508,"('creative-writing', 'technical-translation', 'blogging')","Write Content
"
2509,"('creative-writing', 'technical-translation', 'blogging')","Translation
"
2510,"('creative-writing', 'technical-translation', 'blogging')","Proofreading
"
2511,"('creative-writing', 'technical-translation', 'blogging')","Novel / Short Story
"
2512,"('creative-writing', 'technical-translation', 'blogging')","Document Typing
"
2513,"('creative-writing', 'technical-translation', 'blogging')",Interpreter
2514,"('creative-writing', 'technical-translation', 'interpreting')","Write Content
"
2515,"('creative-writing', 'technical-translation', 'interpreting')","Translation
"
2516,"('creative-writing', 'technical-translation', 'interpreting')","Proofreading
"
2517,"('creative-writing', 'technical-translation', 'interpreting')","Novel / Short Story
"
2518,"('creative-writing', 'technical-translation', 'interpreting')","Document Typing
"
2519,"('creative-writing', 'technical-translation', 'interpreting')",Interpreter
2520,"('creative-writing', 'technical-translation', 'social-media')","Write Content
"
